Package Namespace	Requiremets Type	Code	Requirement Statements	Files/Folders/ or Class/Methods Responible to deliver this requirements	Status	Notes on Status	Date Last Updated
`Nexus\Finance`	Architechtural Requirement	ARC-FIN-2001	Package MUST be framework-agnostic with no Laravel dependencies in core services				
`Nexus\Finance`	Architechtural Requirement	ARC-FIN-2002	All data structures defined via interfaces (JournalEntryInterface, AccountInterface, LedgerLineInterface)				
`Nexus\Finance`	Architechtural Requirement	ARC-FIN-2003	All persistence operations via repository interfaces (LedgerRepositoryInterface, AccountRepositoryInterface)				
`Nexus\Finance`	Architechtural Requirement	ARC-FIN-2004	Business logic concentrated in service layer (FinanceManager, JournalEntryService)				
`Nexus\Finance`	Architechtural Requirement	ARC-FIN-2005	All database migrations in application layer (apps/Atomy)				
`Nexus\Finance`	Architechtural Requirement	ARC-FIN-2006	All Eloquent models in application layer implementing package interfaces				
`Nexus\Finance`	Architechtural Requirement	ARC-FIN-2007	Repository implementations in application layer				
`Nexus\Finance`	Architechtural Requirement	ARC-FIN-2008	Package composer.json MUST NOT depend on laravel/framework				
`Nexus\Finance`	Architechtural Requirement	ARC-FIN-2009	MUST inject PeriodManagerInterface from Nexus\Period for period validation				
`Nexus\Finance`	Architechtural Requirement	ARC-FIN-2010	MUST inject SequencingInterface from Nexus\Sequencing for JE number generation				
`Nexus\Finance`	Architechtural Requirement	ARC-FIN-2011	MUST inject UomManagerInterface from Nexus\Uom for currency management				
`Nexus\Finance`	Architechtural Requirement	ARC-FIN-2012	MUST inject IdentityInterface from Nexus\Identity for user context				
`Nexus\Finance`	Architechtural Requirement	ARC-FIN-2013	Use Value Objects for Money (amount + currency), ExchangeRate, and JournalEntryNumber				
`Nexus\Finance`	Architechtural Requirement	ARC-FIN-2014	Separate Core/ folder for internal engine (PostingEngine, BalanceCalculator)				
`Nexus\Finance`	Architechtural Requirement	ARC-FIN-2015	Define internal contracts in Core/Contracts/ (PostingEngineInterface)				
`Nexus\Finance`	Business Requirements	BUS-FIN-2101	All journal entries MUST be balanced (total debits = total credits) before posting				
`Nexus\Finance`	Business Requirements	BUS-FIN-2102	Posted journal entries are immutable; cannot be modified or deleted				
`Nexus\Finance`	Business Requirements	BUS-FIN-2103	Reversal entries MUST reference the original entry via reversal_of_id				
`Nexus\Finance`	Business Requirements	BUS-FIN-2104	Journal entries can only be posted to open fiscal periods (validated via Nexus\Period)				
`Nexus\Finance`	Business Requirements	BUS-FIN-2105	Each journal entry MUST have a unique, sequential journal entry number				
`Nexus\Finance`	Business Requirements	BUS-FIN-2106	Multi-currency transactions MUST record exchange rate at transaction time				
`Nexus\Finance`	Business Requirements	BUS-FIN-2107	Account codes MUST be unique within tenant scope				
`Nexus\Finance`	Business Requirements	BUS-FIN-2108	Only leaf accounts (accounts without children) can have transactions posted				
`Nexus\Finance`	Business Requirements	BUS-FIN-2109	Account deletion prohibited if account has transactions or child accounts				
`Nexus\Finance`	Business Requirements	BUS-FIN-2110	All financial amounts stored with precision of 4 decimal places				
`Nexus\Finance`	Business Requirements	BUS-FIN-2111	Base currency (tenant's functional currency) MUST be defined at tenant level				
`Nexus\Finance`	Business Requirements	BUS-FIN-2112	Exchange rates MUST be effective-dated to support historical conversions				
`Nexus\Finance`	Business Requirements	BUS-FIN-2113	Foreign currency transactions stored in both transaction currency and base currency				
`Nexus\Finance`	Business Requirements	BUS-FIN-2114	Chart of Accounts structure supports unlimited hierarchical depth				
`Nexus\Finance`	Business Requirements	BUS-FIN-2115	Each account MUST belong to one of 5 types: Asset, Liability, Equity, Revenue, Expense				
`Nexus\Finance`	Business Requirements	BUS-FIN-2116	Account type inheritance: child accounts inherit parent's root type				
`Nexus\Finance`	Business Requirements	BUS-FIN-2117	Journal entries support batch posting with single transaction validation				
`Nexus\Finance`	Business Requirements	BUS-FIN-2118	System-generated entries (auto-postings) MUST be flagged with source system identifier				
`Nexus\Finance`	Business Requirements	BUS-FIN-2119	Manual journal entries require approval workflow for Critical level entries				
`Nexus\Finance`	Business Requirements	BUS-FIN-2120	Small business (< 50 transactions/day): Basic COA with 50-200 accounts				
`Nexus\Finance`	Business Requirements	BUS-FIN-2121	Medium business (50-500 transactions/day): Extended COA with 200-1000 accounts				
`Nexus\Finance`	Business Requirements	BUS-FIN-2122	Large enterprise (> 500 transactions/day): Full COA with 1000+ accounts, multi-entity consolidation				
`Nexus\Finance`	Business Requirements	BUS-FIN-2123	Support intercompany eliminations for multi-entity consolidation				
`Nexus\Finance`	Business Requirements	BUS-FIN-2124	Dimension tagging: Support cost center, project, department dimensions on journal line items				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2201	Maintain hierarchical Chart of Accounts using nested set model or materialized path				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2202	Support flexible account code formats (numeric, alphanumeric, dot-separated, dash-separated)				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2203	Provide account activation/deactivation without deletion to preserve audit trail				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2204	Support account templates for industry-specific COA (manufacturing, retail, service, non-profit)				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2205	Tag accounts with categories and reporting groups for financial statement mapping				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2206	Create journal entries with multiple line items (minimum 2 for double-entry)				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2207	Validate journal entry balance before persisting (sum debits = sum credits)				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2208	Generate sequential journal entry numbers using Nexus\Sequencing with pattern support				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2209	Stamp journal entries with posting date, period, user, and timestamp				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2210	Support recurring journal entries with configurable frequency (monthly, quarterly, annual)				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2211	Reverse posted journal entries by creating offsetting entry with reversal reference				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2212	Query ledger by account, date range, period, source, and dimensions				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2213	Calculate account balance as of specific date (point-in-time balance)				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2214	Calculate account balance for date range (period balance)				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2215	Support drill-down from account balance to individual journal line items				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2216	Manage exchange rates with effective date, currency pair, and rate type (buy/sell/average)				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2217	Auto-apply latest effective exchange rate for multi-currency transactions				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2218	Store both foreign currency amount and base currency equivalent on each line item				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2219	Calculate unrealized gain/loss for open foreign currency positions				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2220	Support dimension-based reporting (cost center, project, department) on line items				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2221	Provide LedgerRepositoryInterface with read-only query methods for ledger data				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2222	Provide AccountRepositoryInterface for COA management operations				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2223	Provide JournalEntryRepositoryInterface for JE persistence and retrieval				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2224	Provide ExchangeRateRepositoryInterface for currency rate management				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2225	Implement batch posting service for high-volume transaction processing				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2226	Support allocation rules for distributing amounts across multiple accounts				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2227	Implement budget vs actual comparison at account level				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2228	Support consolidation of multiple entities with intercompany elimination entries				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2229	Small business: Pre-configured simple COA with common accounts (cash, AR, AP, sales, expenses)				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2230	Medium business: Departmental segmentation, project tracking, multi-location support				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2231	Large enterprise: Multi-entity consolidation, intercompany transactions, global currency management				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2232	Large enterprise: Support for thousands of accounts with efficient hierarchical queries				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2233	Large enterprise: Parallel posting of batch transactions for performance				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2234	Provide trial balance extract service (all accounts with debit/credit balances)				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2235	Support fiscal year-end closing process with automated retained earnings transfer				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2236	Implement audit trail for all COA modifications (account creation, updates, deactivation)				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2237	Support multiple fiscal calendars per tenant (standard, 4-4-5, custom)				
`Nexus\Finance`	Functional Requirement	FUN-FIN-2238	Provide source document attachment support on journal entries (PDF, images)				
`Nexus\Finance`	Performance Requirement	PER-FIN-2301	Journal entry validation (balance check) < 100ms for entries with up to 100 line items				
`Nexus\Finance`	Performance Requirement	PER-FIN-2302	Single journal entry posting < 200ms (p95) including all validations				
`Nexus\Finance`	Performance Requirement	PER-FIN-2303	Batch posting throughput: 1000 journal entries per minute (small entries, 2-5 lines each)				
`Nexus\Finance`	Performance Requirement	PER-FIN-2304	Account balance calculation < 500ms for accounts with up to 100K transactions				
`Nexus\Finance`	Performance Requirement	PER-FIN-2305	Chart of accounts hierarchical query < 200ms for up to 10K accounts				
`Nexus\Finance`	Performance Requirement	PER-FIN-2306	Ledger query by date range < 1s for up to 50K line items with proper indexing				
`Nexus\Finance`	Performance Requirement	PER-FIN-2307	Exchange rate lookup < 50ms using effective date index				
`Nexus\Finance`	Performance Requirement	PER-FIN-2308	Trial balance generation < 3s for 100K transactions and 1K accounts				
`Nexus\Finance`	Performance Requirement	PER-FIN-2309	Small business: Support up to 10K transactions per year with < 2s report generation				
`Nexus\Finance`	Performance Requirement	PER-FIN-2310	Medium business: Support up to 100K transactions per year with < 5s report generation				
`Nexus\Finance`	Performance Requirement	PER-FIN-2311	Large enterprise: Support 1M+ transactions per year with < 10s report generation using partitioning				
